latitude,longitude,name,price,property_type,month,country_code,suburb,rating,city,availability,minimum_nights,maximum_nights,room_type,bedrooms,bathrooms,amenities_count,number_of_reviews
40.72713,-73.98159,Charming place on the hippest street in NYC,175,Apartment,3,US,East Village,5,Unknown,,4,9,Entire home/apt,0.0,1.0,17,32
19.7832,-155.09196,Hilo/Papa'ikou--Hale Melia,60,House,3,US,Island of Hawaiʻi,7,Unknown,,1,31,Private room,1.0,1.0,34,102
41.37338,2.15993,LAST CALL MWC - Bedroom w/ private wc and balcony,130,Apartment,3,ES,El Poble-sec,5,Unknown,,3,7,Private room,1.0,1.0,14,0
45.51881,-73.58595,Le Plateau Mont-Royal et ses très célèbres charmes,110,Apartment,3,CA,Le Plateau-Mont-Royal,5,Unknown,,1,6,Entire home/apt,1.0,1.0,10,3
22.31859,114.17222,Single Room(No Window),251,Guest suite,3,HK,Mong Kok,5,Unknown,,3,30,Private room,1.0,1.0,21,13
41.36859,2.13445,Near the center and the airport . Double room,30,Apartment,3,ES,Sants-Montjuïc,6,Unknown,,2,1125,Private room,1.0,1.0,33,74
-33.95362,151.13905,"近新Rockdale一房一厅,近火车站,有停车位,近机场,可接送机",635,Apartment,3,AU,Rockdale,5,Unknown,,2,1125,Private room,1.0,1.0,16,0
20.70952,-156.44235,Maui Kamaole 1BR Ocean View Front Row Condo,442,Condominium,3,US,Kihei/Wailea,5,Unknown,,4,1124,Entire home/apt,1.0,2.0,15,0
40.72214,-73.93725,Clean and Comfortable,75,Apartment,3,US,Williamsburg,7,Unknown,,1,1125,Entire home/apt,0.0,1.5,29,137
40.74188,-73.99729,"Chelsea NYC luxury 2 bed/2 bath, garden apt",555,Apartment,3,US,Chelsea,6,Unknown,,3,29,Entire home/apt,2.0,2.0,40,100
-33.93378,151.1014,Cozy Granny Flat,115,House,3,AU,Kingsgrove,6,Unknown,,1,1125,Entire home/apt,1.0,1.0,39,72
